path,modified_time
C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\LenovoVantage-(SmartPerformanceAddin).exe,2022-11-29 08:47:52
0000000b	000a00004a6103ff	000a000000000000	8664	Microsoft.Windows.ContentDeliveryManager	cw5n1h2txyewy	neutral,
C:\Users\User\AppData\Local\Programs\Python\Python310\Scripts\pip.exe,2022-11-10 11:01:37
0000000b	03e84a6103ff0000	000a0000295b0000	8664	Microsoft.AAD.BrokerPlugin	cw5n1h2txyewy	neutral,
C:\Program Files (x86)\MouseTracer\uninst.exe,2022-12-13 13:00:32
C:\Program Files (x86)\MouseTracer\MouseTracer.exe,2021-11-07 00:15:32
C:\Users\User\Desktop\마우스 트레이서 - 최신 버전\MouseTracer_1.0.7a_Setup.exe,2021-11-07 09:17:34
C:\Users\User\Desktop\마우스 트레이서 - 최신 버전\MouseTracer_1.0.7a_Setup (1).exe,2021-11-07 09:17:34
C:\Program Files (x86)\Google\Chrome Remote Desktop\108.0.5359.16\remoting_native_messaging_host.exe,2022-10-23 12:49:38
C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe,2022-12-13 01:10:16
C:\Windows\system32\wbem\wmiprvse.exe,2020-10-16 04:36:30
C:\ProgramData\DAMON\REPORTX\REPORTXSvc.exe,2020-05-08 04:26:38
C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\Blend.exe,2021-11-19 12:04:56
C:\Users\User\AppData\Local\Temp\tmpuiphujww\OpenSaveFilesView.exe,2022-12-13 03:55:22
C:\Users\User\AppData\Local\Programs\Python\Python310\python.exe,2021-10-04 10:12:42
C:\Users\User\AppData\Local\Programs\Python\Python310\Scripts\auto-py-to-exe.exe,2022-11-15 16:58:49
C:\Users\User\AppData\Local\Temp\tmpq0ke5hmf\USBDeview.exe,2022-12-13 03:39:41
C:\Users\User\AppData\Local\Temp\tmpq0ke5hmf\UserProfilesView.exe,2022-12-13 03:39:41
C:\Users\User\AppData\Local\Temp\tmpq0ke5hmf\WebBrowserBookmarksView.exe,2022-12-13 03:39:41
C:\Users\User\AppData\Local\Temp\tmpq0ke5hmf\NetworkInterfacesView.exe,2022-12-13 03:39:41
C:\Users\User\AppData\Local\Temp\tmpq0ke5hmf\RBCmd.exe,2022-12-13 03:39:41
C:\Users\User\AppData\Local\Temp\tmpq0ke5hmf\BrowsingHistoryView.exe,2022-12-13 03:39:41
C:\Users\User\AppData\Local\Temp\tmpq0ke5hmf\shman.exe,2022-12-13 03:39:41
C:\Users\User\AppData\Local\Temp\tmpq0ke5hmf\UserAssistView.exe,2022-12-13 03:39:41
C:\Users\User\AppData\Local\Temp\tmpq0ke5hmf\AppCompatCacheParser.exe,2022-12-13 03:39:41
C:\Users\User\AppData\Local\Temp\tmpq0ke5hmf\WinPrefetchView.exe,2022-12-13 03:39:41
C:\Users\User\AppData\Local\Temp\tmpq0ke5hmf\JumpListsView.exe,2022-12-13 03:39:41
C:\Users\User\AppData\Local\Temp\tmpq0ke5hmf\LastActivityView.exe,2022-12-13 03:39:41
C:\Users\User\AppData\Local\Temp\tmpq0ke5hmf\ShellBagsView.exe,2022-12-13 03:39:41
C:\Users\User\AppData\Local\Temp\tmpq0ke5hmf\RecentFilesView.exe,2022-12-13 03:39:41
C:\Users\User\AppData\Local\Temp\tmpq0ke5hmf\OutlookAttachView.exe,2022-12-13 03:39:41
C:\Users\User\AppData\Local\Temp\tmpq0ke5hmf\BrowserDownloadsView.exe,2022-12-13 03:39:41
C:\Users\User\AppData\Local\Temp\tmpq0ke5hmf\OpenSaveFilesView.exe,2022-12-13 03:39:41
C:\Users\User\AppData\Local\Temp\tmp_z2lr6u4\OpenSaveFilesView.exe,2022-12-13 03:34:55
C:\Users\User\AppData\Local\Temp\tmp3eyz5gta\OpenSaveFilesView.exe,2022-12-13 03:32:42
C:\Users\User\AppData\Local\Temp\tmp4keqedr5\NetworkInterfacesView.exe,2022-12-13 03:26:35
C:\Users\User\AppData\Local\Temp\tmp_d_wzi0o\NetworkInterfacesView.exe,2022-12-13 03:26:11
C:\Users\User\AppData\Local\Temp\842D9227-8CED-45E4-A210-DB41FC6B9AD8\dismhost.exe,2021-01-16 01:50:29
C:\Users\User\AppData\Local\Temp\B9808D56-90FA-4275-9CCA-801E72F89359\dismhost.exe,2021-01-16 01:50:29
C:\Windows\Microsoft.NET\Framework\v4.0.30319\NGenTask.exe,2020-12-02 22:45:24
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\NGenTask.exe,2020-12-02 22:38:14
C:\Windows\system32\disksnapshot.exe,2021-07-10 08:25:01
C:\Windows\system32\dstokenclean.exe,2020-08-23 10:08:31
C:\Windows\servicing\TrustedInstaller.exe,2022-06-19 08:49:42
C:\Windows\system32\speech_onecore\common\SpeechModelDownload.exe,2022-04-13 13:21:35
C:\Windows\System32\svchost.exe,2022-08-30 15:53:57
C:\Windows\system32\taskhostw.exe,2022-08-30 15:54:07
C:\Users\User\AppData\Roaming\DesktopCal\dkupdate.exe,2022-08-31 05:57:04
C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,2021-04-01 19:17:37
C:\Users\User\AppData\Local\Temp\dbeaver-ce-latest-x86_64-setup.exe13608707711616134352\dbeaver-ce-latest-x86_64-setup.exe,2022-12-13 01:53:51
C:\Users\User\AppData\Local\DBeaver\dbeaver.exe,2022-12-07 07:39:04
C:\Program Files\Bandizip\data\web32.exe,2022-11-17 08:46:00
C:\Users\User\Desktop\Me\Code\PY\DF_CAT_Forensic_Tool\DF_CAT_Tool_v1.0.4.exe,2022-12-13 03:46:10
C:\Program Files\Git\mingw64\libexec\git-core\git-credential-manager-core.exe,2022-02-01 07:09:14
C:\Program Files\Git\usr\bin\sh.exe,2022-02-01 07:08:46
C:\Windows\SysWOW64\regsvr32.exe,2019-12-07 09:10:04
C:\Windows\system32\regsvr32.exe,2019-12-07 09:09:46
C:\Users\User\AppData\Local\Microsoft\Teams\stage\Teams.exe,2022-12-13 01:35:17
C:\Users\User\AppData\Local\Microsoft\Teams\stage\Squirrel.exe,2022-12-13 01:35:15
C:\Users\User\AppData\Local\Temp\tmpdpn1ss4z\OpenSaveFilesView.exe,2022-12-13 01:32:56
C:\Users\User\AppData\Local\Temp\tmpm1vseiho\OpenSaveFilesView.exe,2022-12-13 01:30:33
C:\Users\User\AppData\Local\Temp\tmp25sgabcf\USBDeview.exe,2022-12-13 01:23:38
C:\Windows\system32\netstat.exe,2019-12-07 09:09:34
C:\Users\User\AppData\Local\Temp\tmp25sgabcf\UserProfilesView.exe,2022-12-13 01:23:38
C:\Users\User\AppData\Local\Temp\tmp25sgabcf\WebBrowserBookmarksView.exe,2022-12-13 01:23:38
C:\Users\User\AppData\Local\Temp\tmp25sgabcf\NetworkInterfacesView.exe,2022-12-13 01:23:37
