name,url,browser,start_time,end_time,size,path
2022 하계학술대회 프로그램북v7 (1)_compressed (1).pdf,https://kiisc.or.kr/society/kiisc/homepage/bbs/downloadBoardImage?uploadedFileId=5930,Chrome,2022-10-29 오후 5:41:06,2022-10-29 오후 5:41:07,"655,525",C:\Users\User\Downloads\2022 하계학술대회 프로그램북v7 (1)_compressed (1).pdf
이익규-국문-재학증명서-202210261131.pdf,https://uni.webminwon.com/servlet/WMBASKET?COMMAND=CERTPDFDOWN,Chrome,2022-10-26 오전 11:31:19,2022-10-26 오전 11:31:20,"397,781",C:\Users\User\Downloads\이익규-국문-재학증명서-202210261131.pdf
dbeaver-ce-22.2.3-x86_64-setup.exe,https://dbeaver.io/files/dbeaver-ce-latest-x86_64-setup.exe,Chrome,2022-10-25 오후 7:08:13,2022-10-25 오후 7:08:25,"112,605,792",C:\Users\User\Downloads\dbeaver-ce-22.2.3-x86_64-setup.exe
중소기업 기술유출사례 및 대응방안연구.pdf (2).pdf,https://is-portal.net/download?idx=470&filename=%EC%A4%91%EC%86%8C%EA%B8%B0%EC%97%85%20%EA%B8%B0%EC%88%A0%EC%9C%A0%EC%B6%9C%EC%82%AC%EB%A1%80%20%EB%B0%8F%20%EB%8C%80%EC%9D%91%EB%B0%A9%EC%95%88%EC%97%B0%EA%B5%AC.pdf&real_file_name=/storage/app/images/yioIXWopihHW1pRRhvAqfMP4b5MOWtR8UpY1VXvT.pdf,Chrome,2022-10-25 오후 7:00:16,2022-10-25 오후 7:00:17,"3,298,044",C:\Users\User\Downloads\중소기업 기술유출사례 및 대응방안연구.pdf (2).pdf
중소기업 기술유출사례 및 대응방안연구.pdf (1).pdf,https://is-portal.net/download?idx=470&filename=%EC%A4%91%EC%86%8C%EA%B8%B0%EC%97%85%20%EA%B8%B0%EC%88%A0%EC%9C%A0%EC%B6%9C%EC%82%AC%EB%A1%80%20%EB%B0%8F%20%EB%8C%80%EC%9D%91%EB%B0%A9%EC%95%88%EC%97%B0%EA%B5%AC.pdf&real_file_name=/storage/app/images/yioIXWopihHW1pRRhvAqfMP4b5MOWtR8UpY1VXvT.pdf,Chrome,2022-10-25 오후 6:53:27,2022-10-25 오후 6:53:28,"3,298,044",C:\Users\User\Downloads\중소기업 기술유출사례 및 대응방안연구.pdf (1).pdf
중소기업 기술유출사례 및 대응방안연구.pdf.pdf,https://is-portal.net/download?idx=470&filename=%EC%A4%91%EC%86%8C%EA%B8%B0%EC%97%85%20%EA%B8%B0%EC%88%A0%EC%9C%A0%EC%B6%9C%EC%82%AC%EB%A1%80%20%EB%B0%8F%20%EB%8C%80%EC%9D%91%EB%B0%A9%EC%95%88%EC%97%B0%EA%B5%AC.pdf&real_file_name=/storage/app/images/yioIXWopihHW1pRRhvAqfMP4b5MOWtR8UpY1VXvT.pdf,Chrome,2022-10-25 오후 6:53:03,2022-10-25 오후 6:53:04,"3,298,044",C:\Users\User\Downloads\중소기업 기술유출사례 및 대응방안연구.pdf.pdf
P19-22.pdf,https://pms.nrc.re.kr:8081/EgovFileDown.do?fileSeq=COM_0000000000007108,Chrome,2022-10-25 오후 6:50:15,2022-10-25 오후 6:50:16,"4,309,679",C:\Users\User\Downloads\P19-22.pdf
중소기업 기술유출사례 및 대응방안연구.pdf.pdf,https://is-portal.net/download?idx=470&filename=%EC%A4%91%EC%86%8C%EA%B8%B0%EC%97%85%20%EA%B8%B0%EC%88%A0%EC%9C%A0%EC%B6%9C%EC%82%AC%EB%A1%80%20%EB%B0%8F%20%EB%8C%80%EC%9D%91%EB%B0%A9%EC%95%88%EC%97%B0%EA%B5%AC.pdf&real_file_name=/storage/app/images/yioIXWopihHW1pRRhvAqfMP4b5MOWtR8UpY1VXvT.pdf,Chrome,2022-10-25 오후 6:44:05,2022-10-25 오후 6:44:06,"3,298,044",C:\Users\User\Downloads\중소기업 기술유출사례 및 대응방안연구.pdf.pdf
tailscale-ipn-setup-1.32.1.exe,https://pkgs.tailscale.com/stable/tailscale-ipn-setup-1.32.1.exe,Chrome,2022-10-25 오전 1:17:55,2022-10-25 오전 1:18:02,"37,075,136",C:\Users\User\Downloads\tailscale-ipn-setup-1.32.1.exe
setupprofessional2019retail.x64.ko-kr.exe,https://officecdn.microsoft.com/pr/492350f6-3a01-4f97-b9c0-c7c6ddf67d60/Office/Data/setupprofessional2019retail.x64.ko-kr.exe,Chrome,2022-10-21 오후 5:27:54,2022-10-21 오후 5:27:55,"10,061,624",C:\Users\User\Downloads\setupprofessional2019retail.x64.ko-kr.exe
