name,path,action_time
DESKTOPCAL.EXE,C:\Users\User\AppData\Roaming\DESKTOPCAL\DESKTOPCAL.EXE,2022-12-17 오후 1:23:06
OP.GG.EXE,C:\Users\User\AppData\Local\Programs\OP.GG\OP.GG.EXE,2022-12-17 오후 1:23:06
Teams.exe,C:\Users\User\AppData\Local\MICROSOFT\Teams\current\Teams.exe,2022-12-17 오후 1:23:05
reg.exe,C:\Windows\SysWOW64\reg.exe,2022-12-17 오후 1:23:04
OP.GG.EXE,C:\Users\User\AppData\Local\Programs\OP.GG\OP.GG.EXE,2022-12-17 오후 1:22:58
Discord.exe,C:\Users\User\AppData\Local\Discord\APP-1.0.9008\Discord.exe,2022-12-17 오후 1:22:56
Discord.exe,C:\Users\User\AppData\Local\Discord\APP-1.0.9008\Discord.exe,2022-12-17 오후 1:22:56
Discord.exe,C:\Users\User\AppData\Local\Discord\APP-1.0.9008\Discord.exe,2022-12-17 오후 1:22:56
ASDCli.exe,C:\PROGRAM FILES\AhnLab\V3Lite40\ASDCli.exe,2022-12-17 오후 1:22:55
Discord.exe,C:\Users\User\AppData\Local\Discord\APP-1.0.9008\Discord.exe,2022-12-17 오후 1:22:55
HNETCOM.AGENT.EXE,C:\PROGRAM FILES (X86)\Hnc\OFFICE 2018\HOFFICE100\Bin\HNETCOM.AGENT.EXE,2022-12-17 오후 1:22:55
Discord.exe,C:\Users\User\AppData\Local\Discord\APP-1.0.9008\Discord.exe,2022-12-17 오후 1:22:55
AupASD.exe,C:\PROGRAM FILES\AhnLab\V3Lite40\AupASD.exe,2022-12-17 오후 1:22:55
Update.exe,C:\Users\User\AppData\Local\Discord\Update.exe,2022-12-17 오후 1:22:54
CROSSEXSERVICE.EXE,C:\PROGRAM FILES (X86)\iniLINE\CrossEX\crossex\CROSSEXSERVICE.EXE,2022-12-17 오후 1:22:54
WLRMDR.EXE,C:\WINDOWS\SYSTEM32\WLRMDR.EXE,2022-12-17 오후 1:22:53
sc.exe,C:\Windows\System32\sc.exe,2022-12-17 오후 1:22:52
